Agency,OfficeCode,ClientName,DebtorsAccountCode,MediaName,ClientCode,ProductCode,ProductName,CampaignCode,CampaignName,BuyMonth,BuySerial,BookingCategoryShortname,SupplierName,BuyerName,BuyerPID,BuyDate,BookedDate,LastAmendedInvoice,CampaignReference,ClientReference,BillComments,PO,PO_Reference,Gross,MediaDiscountPercentage,Payable,Paid,UnPaid,AgencyCommission,Billable,Billed,UnBilled,LevyBillable,Unbilled Client Cost,VATBillable,Vouchered,AgencyCommentBy,Action,AgencyCommentDate,Bill,LocalCurrencyCode,AccountExchangerate,BillableCurrency,ASBOF / BASBOF,BilledCurrency,UnbilledCurrency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Adserving,INTEGRAL ADSCIENCE,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,MARIE CLAIRE (15%),,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,VOGUE,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HEARST DIGITAL,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HARPERS BAZAAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HARPERS BAZAAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,ELLE UK,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,ELLE UK,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HEARST DIGITAL,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,ELLE UK,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HEARST DIGITAL,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHD,,CHANEL LIMITED,,DISPLAY,,,BEAUTY LES BEIGES,6,FB_MU_LESBEIGESHEROSUPPO,Jun-24,,Display,HARPERS BAZAAR,,,,,,,PO00062541,PO00062541,PO00062541,PO00062541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
